accident_id,accident_date,accident_time,severity_level,location_id,weather_id
1,2021-01-28,21:23:26,4,8,4
2,2021-04-05,4:27:37,2,35,3
3,2020-07-26,14:34:48,5,26,2
4,2021-10-30,8:53:51,5,48,5
5,2021-07-30,16:55:17,2,85,2
6,2021-01-08,9:39:27,5,23,1
7,2020-07-05,0:02:14,1,80,4
8,2020-03-13,10:14:49,4,20,4
9,2022-06-13,10:17:33,4,94,5
10,2022-04-18,7:27:58,1,51,1
11,2020-07-21,11:57:36,2,33,1
12,2021-05-03,7:44:17,2,38,3
13,2021-07-12,8:19:12,3,56,5
14,2020-06-22,22:36:12,2,18,3
15,2022-03-29,13:01:23,2,98,2
16,2022-03-25,4:17:00,3,62,1
17,2021-08-08,3:24:22,3,113,5
18,2022-05-08,17:54:35,2,77,5
19,2021-05-16,1:00:53,2,1,2
20,2020-04-08,14:20:20,5,4,5
21,2021-01-15,13:27:32,2,77,3
22,2021-03-20,19:38:21,2,20,5
23,2020-02-18,10:28:27,2,107,4
24,2021-07-02,12:28:59,3,104,2
25,2022-01-12,20:12:36,4,74,1
26,2021-03-01,3:24:50,5,2,3
27,2020-07-22,2:50:26,2,19,1
28,2021-09-27,7:08:12,5,94,5
29,2022-08-05,4:37:24,4,9,5
30,2021-08-15,0:08:02,2,94,1
31,2020-12-30,3:27:33,5,75,1
32,2020-01-12,2:33:01,4,29,5
33,2020-04-22,22:24:51,3,55,3
34,2020-02-01,13:56:22,5,6,2
35,2022-01-25,7:59:39,4,114,4
36,2020-06-05,13:24:11,1,84,5
37,2022-08-04,13:06:28,3,60,2
38,2020-06-21,9:51:13,3,9,5
39,2021-08-03,13:19:27,4,78,4
40,2022-04-03,1:47:47,3,28,5
41,2022-07-23,19:38:05,1,39,1
42,2021-06-01,22:11:40,1,69,2
43,2020-05-10,17:42:13,3,115,5
44,2022-05-06,17:23:53,5,37,2
45,2020-04-28,3:27:36,2,100,4
46,2020-02-05,14:14:07,1,26,2
47,2020-03-04,17:31:34,4,100,2
48,2022-05-29,5:01:55,5,36,1
49,2020-11-19,21:03:24,3,53,1
50,2021-03-24,7:28:45,5,114,2
51,2021-06-13,22:20:13,2,84,5
52,2020-07-02,12:37:02,4,51,2
53,2022-09-18,1:55:17,4,16,3
54,2022-01-11,19:21:39,2,24,1
55,2021-03-03,6:56:23,1,37,1
56,2020-04-04,14:13:37,3,61,3
57,2021-03-11,4:04:01,2,110,3
58,2021-02-03,11:11:23,2,100,2
59,2022-09-26,5:33:56,2,49,4
60,2020-04-26,10:57:51,5,116,5
61,2021-12-29,16:31:33,3,15,1
62,2020-05-30,18:49:48,2,96,1
63,2022-01-08,12:31:50,4,48,4
64,2020-10-29,9:54:42,5,106,5
65,2021-04-11,16:57:53,3,59,1
66,2020-12-03,2:16:42,3,104,4
67,2021-06-30,23:10:36,5,62,1
68,2022-05-15,23:58:56,3,20,3
69,2020-03-30,22:44:28,3,95,4
70,2020-09-20,3:51:47,5,50,4
71,2020-06-01,18:06:54,1,5,3
72,2021-05-17,10:41:19,5,19,5
73,2022-08-26,10:21:11,4,113,5
74,2020-09-01,8:59:50,2,119,3
75,2020-12-14,12:38:20,3,117,2
76,2020-10-07,18:29:34,3,109,3
77,2021-10-05,23:42:27,2,43,2
78,2020-09-03,4:14:33,4,50,4
79,2022-02-23,23:40:55,1,96,2
80,2021-03-06,22:04:48,1,29,3
81,2022-09-04,22:24:46,1,9,1
82,2020-02-19,14:19:52,5,91,3
83,2020-08-03,16:14:24,4,62,5
84,2021-06-20,5:15:22,2,72,1
85,2022-08-04,17:25:07,4,76,2
86,2022-08-30,21:23:21,3,22,4
87,2020-03-21,22:48:30,3,79,3
88,2021-11-08,10:40:29,4,7,5
89,2021-06-11,13:51:27,1,34,5
90,2021-06-06,9:55:03,4,36,5
91,2020-09-17,16:30:56,1,95,4
92,2020-03-25,2:13:54,3,3,4
93,2020-09-19,17:40:31,4,104,3
94,2021-10-25,4:37:29,3,101,3
95,2022-02-19,15:37:24,1,56,1
96,2020-01-13,20:30:27,4,3,3
97,2020-06-06,20:45:36,2,114,3
98,2022-07-24,8:04:39,5,36,5
99,2020-04-12,4:37:41,5,14,1
100,2021-12-01,7:51:44,1,118,2
101,2020-08-12,14:24:33,2,96,1
102,2020-07-18,1:16:24,2,101,3
103,2020-12-14,5:14:22,5,3,3
104,2022-09-03,5:33:08,2,106,3
105,2022-02-01,13:49:02,5,4,4
106,2022-02-19,23:38:34,5,119,2
107,2020-04-21,11:58:01,4,109,5
108,2021-05-02,22:45:01,3,116,5
109,2020-12-17,7:19:12,5,94,5
110,2020-09-13,5:28:48,4,93,5
111,2020-05-03,18:45:53,3,77,1
112,2021-07-17,6:57:50,3,74,1
113,2020-05-29,2:55:23,3,77,3
114,2020-10-05,7:41:38,1,28,1
115,2021-04-19,18:33:45,1,30,2
116,2021-08-18,19:02:15,1,64,2
117,2022-08-24,7:23:36,2,51,4
118,2022-09-26,0:12:29,5,44,2
119,2022-01-04,9:11:14,5,119,2
120,2021-06-13,0:26:50,5,55,1
