accident_id,vehicle_id
1,15
1,2
2,41
2,58
2,25
3,4
3,56
3,100
4,41
5,110
6,4
6,83
7,60
8,57
8,77
8,24
9,70
9,68
9,20
10,96
10,94
10,118
11,68
12,71
12,86
12,73
13,23
13,40
13,93
14,39
14,50
14,20
15,20
15,5
16,118
16,95
16,100
17,30
17,116
17,98
18,5
18,120
18,119
19,120
19,43
20,21
20,74
20,6
21,108
21,80
22,87
22,50
23,69
23,12
23,55
24,62
24,45
25,108
25,90
25,105
26,5
26,105
26,21
27,100
28,56
28,106
29,51
29,11
30,48
30,69
30,109
31,45
31,102
32,88
33,15
33,32
34,106
35,68
35,6
36,93
36,85
36,47
37,92
37,64
37,108
38,30
39,15
39,13
40,95
41,16
41,77
41,85
42,55
42,10
42,110
43,98
43,111
43,8
44,74
44,55
44,16
45,3
46,58
46,83
46,3
47,28
47,62
47,69
48,59
48,68
48,87
49,76
49,20
49,81
50,120
50,27
51,1
51,103
52,94
52,97
53,69
53,37
54,98
55,53
56,50
57,28
58,82
59,78
59,56
59,85
60,66
60,9
60,37
61,71
61,32
61,78
62,73
62,53
62,75
63,21
64,7
64,66
65,112
66,65
66,84
67,52
68,85
68,79
68,109
69,31
69,80
69,47
70,41
71,79
72,2
72,79
73,46
73,65
74,119
74,72
74,4
75,98
75,15
76,14
77,92
77,14
78,47
78,13
79,75
79,60
79,39
80,40
81,10
81,114
82,13
83,114
83,99
83,93
84,45
85,57
85,75
86,82
86,108
86,88
87,52
87,14
87,51
88,43
88,44
89,106
89,104
89,59
90,74
90,114
91,35
92,26
92,18
93,84
93,94
94,111
94,90
94,26
95,73
96,2
97,17
98,91
98,19
99,55
100,108
100,49
100,68
101,33
102,32
103,100
104,61
105,105
106,120
107,68
108,3
109,14
109,34
109,23
110,86
111,101
111,17
111,104
112,94
112,106
113,79
114,77
114,118
114,98
115,73
115,50
116,29
117,5
117,69
118,104
118,14
119,21
120,36
