vehicle_id,vehicle_type
1,Motorcycle
2,Truck
3,Bus
4,Bus
5,Bus
6,Car
7,SUV
8,Truck
9,Car
10,Bus
11,SUV
12,Bus
13,Motorcycle
14,Car
15,Motorcycle
16,Bus
17,Truck
18,Car
19,Bus
20,SUV
21,Motorcycle
22,SUV
23,Motorcycle
24,Motorcycle
25,Bus
26,SUV
27,Car
28,Truck
29,Truck
30,SUV
31,Bus
32,Car
33,Motorcycle
34,Truck
35,Bus
36,Bus
37,Bus
38,Motorcycle
39,SUV
40,Truck
41,Truck
42,Motorcycle
43,SUV
44,Car
45,SUV
46,SUV
47,Motorcycle
48,Motorcycle
49,Car
50,Bus
51,Motorcycle
52,SUV
53,Car
54,Motorcycle
55,Motorcycle
56,Bus
57,SUV
58,Car
59,SUV
60,Car
61,Bus
62,Bus
63,Motorcycle
64,Truck
65,Car
66,Car
67,Truck
68,Truck
69,Car
70,Motorcycle
71,SUV
72,Car
73,SUV
74,SUV
75,SUV
76,Motorcycle
77,Motorcycle
78,Motorcycle
79,Truck
80,Motorcycle
81,Truck
82,Bus
83,Car
84,Car
85,Truck
86,SUV
87,Motorcycle
88,Car
89,Motorcycle
90,SUV
91,SUV
92,Truck
93,Car
94,SUV
95,Truck
96,Bus
97,Bus
98,Motorcycle
99,SUV
100,Bus
101,Bus
102,Motorcycle
103,Bus
104,Motorcycle
105,Motorcycle
106,SUV
107,Bus
108,Bus
109,Car
110,SUV
111,SUV
112,Motorcycle
113,SUV
114,Car
115,Truck
116,Car
117,Motorcycle
118,Bus
119,Bus
120,Bus
